minority_frac,trial,strategy,ops_retained,info_retention,tauhat
0.1,0,leader,0.9583333333333334,0.8505434782608696,0.14945652173913043
0.1,0,lww,1.0,0.9207427536231884,0.0792572463768116
0.1,0,ranked_pairs,1.0,0.9207427536231884,0.0792572463768116
0.1,1,leader,0.875,0.8722826086956521,0.12771739130434784
0.1,1,lww,1.0,0.8899456521739131,0.11005434782608696
0.1,1,ranked_pairs,1.0,0.8899456521739131,0.11005434782608696
0.1,2,leader,0.875,0.9288949275362319,0.07110507246376811
0.1,2,lww,1.0,0.9225543478260869,0.07744565217391304
0.1,2,ranked_pairs,1.0,0.9225543478260869,0.07744565217391304
0.1,3,leader,0.75,0.8971920289855072,0.10280797101449275
0.1,3,lww,1.0,0.9198369565217391,0.08016304347826086
0.1,3,ranked_pairs,1.0,0.9198369565217391,0.08016304347826086
0.1,4,leader,0.875,0.9266304347826086,0.07336956521739131
0.1,4,lww,1.0,0.9239130434782609,0.07608695652173914
0.1,4,ranked_pairs,1.0,0.9239130434782609,0.07608695652173914
0.1,5,leader,0.9166666666666666,0.8727355072463768,0.1272644927536232
0.1,5,lww,1.0,0.9144021739130435,0.08559782608695653
0.1,5,ranked_pairs,1.0,0.9144021739130435,0.08559782608695653
0.1,6,leader,0.8333333333333334,0.8505434782608696,0.14945652173913043
0.1,6,lww,1.0,0.9202898550724637,0.07971014492753623
0.1,6,ranked_pairs,1.0,0.9202898550724637,0.07971014492753623
0.1,7,leader,0.9166666666666666,0.8831521739130435,0.11684782608695653
0.1,7,lww,1.0,0.9302536231884058,0.06974637681159421
0.1,7,ranked_pairs,1.0,0.9302536231884058,0.06974637681159421
0.1,8,leader,0.875,0.9039855072463768,0.09601449275362318
0.1,8,lww,1.0,0.9103260869565217,0.08967391304347826
0.1,8,ranked_pairs,1.0,0.9103260869565217,0.08967391304347826
0.1,9,leader,0.8333333333333334,0.8546195652173914,0.1453804347826087
0.1,9,lww,1.0,0.9153079710144928,0.08469202898550725
0.1,9,ranked_pairs,1.0,0.9153079710144928,0.08469202898550725
0.1,10,leader,0.8333333333333334,0.8786231884057971,0.1213768115942029
0.1,10,lww,1.0,0.9053442028985508,0.09465579710144928
0.1,10,ranked_pairs,1.0,0.9053442028985508,0.09465579710144928
0.1,11,leader,0.9583333333333334,0.9298007246376812,0.07019927536231885
0.1,11,lww,1.0,0.9207427536231884,0.0792572463768116
0.1,11,ranked_pairs,1.0,0.9207427536231884,0.0792572463768116
0.1,12,leader,0.9166666666666666,0.8740942028985508,0.12590579710144928
0.1,12,lww,1.0,0.9080615942028986,0.09193840579710146
0.1,12,ranked_pairs,1.0,0.9080615942028986,0.09193840579710146
0.1,13,leader,0.875,0.8129528985507246,0.18704710144927536
0.1,13,lww,1.0,0.916213768115942,0.08378623188405797
0.1,13,ranked_pairs,1.0,0.916213768115942,0.08378623188405797
0.1,14,leader,0.9166666666666666,0.9406702898550725,0.059329710144927536
0.1,14,lww,1.0,0.9311594202898551,0.06884057971014493
0.1,14,ranked_pairs,1.0,0.9311594202898551,0.06884057971014493
0.2,0,leader,0.7083333333333334,0.9556159420289855,0.044384057971014496
0.2,0,lww,1.0,0.9298007246376812,0.07019927536231885
0.2,0,ranked_pairs,1.0,0.9298007246376812,0.07019927536231885
0.2,1,leader,0.5,0.9818840579710145,0.018115942028985508
0.2,1,lww,1.0,0.9193840579710145,0.0806159420289855
0.2,1,ranked_pairs,1.0,0.9193840579710145,0.0806159420289855
