M,trial,tau_total_ms,rp_ms,lww_ms,vc_ms,merge_thr_ops_s,rp_tau
5,0,0.3147000024910085,0.027999998565064743,0.012299999070819467,0.0168999977177009,178571.43772280184,5
5,1,0.2798999994411133,0.03199999991920777,0.009100000170292333,0.01349999729427509,156250.00039449334,8
5,2,0.2961999998660758,0.03179999839630909,0.008300001354655251,0.01049999991664663,157232.712331845,7
5,3,0.2992999980051536,0.03239999932702631,0.007700000423938036,0.020700001186924055,154320.99085969033,8
5,4,0.3919000009773299,0.045900000259280205,0.013799999578623101,0.04519999856711365,108932.46125829998,8
5,5,0.40389999776380137,0.032100000680657104,0.009199997293762863,0.011600001016631722,155763.2365725435,8
5,6,0.40269999954034574,0.04329999865149148,0.012799999240087345,0.01469999915570952,115473.44470477886,8
5,7,0.3471000018180348,0.03190000279573724,0.012000000424450263,0.013599998055724427,156739.79817544547,8
5,8,0.29830000130459666,0.0318000020342879,0.008899998647393659,0.011600001016631722,157232.6943441331,8
5,9,0.4470999992918223,0.03590000051190145,0.01630000042496249,0.013799999578623101,139275.76403076696,8
5,10,0.3665000003820751,0.033299998904112726,0.013299999409355223,0.014799999917158857,150150.15509152084,9
5,11,0.2750999992713332,0.029599999834317714,0.008300001354655251,0.010700001439545304,168918.9198644214,9
8,0,0.674899998557521,0.07299999924725853,0.009399998816661537,0.014299999747890979,109589.04222592078,23
8,1,0.8538999973097816,0.13360000230022706,0.014599998394260183,0.022399999579647556,59880.238489983945,23
8,2,0.6560000001627486,0.07330000153160654,0.009499999578110874,0.017399997886968777,109140.51613696686,18
8,3,0.685499999235617,0.07559999721706845,0.01049999991664663,0.018300001102034003,105820.10971547781,25
8,4,0.7872999995015562,0.07810000170138665,0.014999997802078724,0.016599999071331695,102432.77625764714,21
8,5,0.7636999980604742,0.06779999966965988,0.014900000678608194,0.01309999788645655,117994.10086988473,23
8,6,0.6233000021893531,0.07929999992484227,0.009100000170292333,0.01590000101714395,100882.72392915658,23
8,7,0.7293999988178257,0.08369999704882503,0.02350000067963265,0.021899999410379678,95579.45378819226,17
8,8,0.6584000002476387,0.10380000094301067,0.01309999788645655,0.018999999156221747,77071.2902439398,22
8,9,0.6735999995726161,0.07829999958630651,0.009599996701581404,0.014900000678608194,102171.13719371051,26
8,10,0.7502000007661991,0.10449999899719842,0.025499997718725353,0.020799998310394585,76555.02465808134,26
8,11,0.6409999987226911,0.07099999857018702,0.00920000093174167,0.014100001862971112,112676.05860712241,15
10,0,0.9742000002006534,0.10729999848990701,0.008900002285372466,0.017800000932766125,93196.64623239145,26
10,1,1.081099999282742,0.11590000212891027,0.0121000011858996,0.018200000340584666,86281.2753780406,31
10,2,0.9476999985054135,0.10799999654409476,0.009999999747378752,0.014299999747890979,92592.59555547441,38
10,3,1.0763999998744112,0.12400000196066685,0.011500000255182385,0.018700000509852543,80645.16001517506,27
10,4,1.0020999980042689,0.11159999849041924,0.009100000170292333,0.016499998309882358,89605.73597909584,36
10,5,1.1547000030986965,0.13159999798517674,0.014500001270789653,0.019400002202019095,75987.84310867838,34
10,6,1.140199998189928,0.21440000273287296,0.029899998480686918,0.030899998819222674,46641.79045025146,39
10,7,1.1100000010628719,0.11330000052112155,0.016400001186411828,0.018500002624932677,88261.25290384077,36
10,8,0.9466000010434072,0.10779999865917489,0.0092999980552122,0.015199999324977398,92764.37963247504,39
10,9,1.0379999985161703,0.1218999968841672,0.011299998732283711,0.016099998902063817,82034.45656772479,31
10,10,0.9712999999464955,0.11190000077476725,0.00960000033956021,0.015000001440057531,89365.50429635866,32
10,11,1.061300001310883,0.11620000077527948,0.0121000011858996,0.017800000932766125,86058.51921928224,31
15,0,2.466999998432584,0.25380000079167075,0.014999997802078724,0.025800000003073364,59101.65466198167,59
15,1,2.308300001459429,0.2808999997796491,0.015300000086426735,0.07019999975454994,53399.78644274365,80
15,2,2.499099999113241,0.2840999986801762,0.01680000059423037,0.023799999326001853,52798.31069934694,73
15,3,2.529999997932464,0.3173000004608184,0.019400002202019095,0.025200002710334957,47273.87323736316,88
15,4,2.4302999991050456,0.2582000015536323,0.01809999957913533,0.027000001864507794,58094.50003773241,69
15,5,2.145499998732703,0.2477000016369857,0.011899999663000926,0.027300000510877,60557.125154900496,68
15,6,2.2614999979850836,0.4369000016595237,0.015599998732795939,0.02809999932651408,34332.79913715703,80
15,7,2.4554999981774017,0.293100001726998,0.016100002540042624,0.026300000172341242,51177.07236989866,79
15,8,2.6457000021764543,0.36580000232788734,0.019900002371286973,0.027099998987978324,41006.01395446315,85
15,9,2.344299999094801,0.2610000010463409,0.01750000228639692,0.027300000510877,57471.26413741557,76
15,10,2.1991999965393916,0.2639999984239694,0.011899999663000926,0.02469999890308827,56818.18215737574,58
15,11,2.347699999518227,0.3541000005498063,0.021600000764010474,0.022599997464567423,42360.91492999069,69
20,0,4.379099998914171,0.5907000013394281,0.031100000342121348,0.043000000005122274,33858.1343400194,125
20,1,4.521599999861792,0.5392999992182013,0.11150000136694871,0.07389999882434495,37085.11038196383,118
20,2,4.04530000014347,0.467399997432949,0.022700001863995567,0.030700000934302807,42789.90181823676,128
20,3,4.16649999897345,0.48519999836571515,0.021600000764010474,0.030400002287933603,41220.11555516367,135
20,4,4.0791999999783,0.5698999993910547,0.0213999992411118,0.027599999157246202,35093.87615611555,132
20,5,4.316200000175741,0.4698000011558179,0.022100000933278352,0.02479999966453761,42571.306834387666,132
20,6,4.092499999387655,0.5878999982087407,0.024900000425986946,0.033700001949910074,34019.39115655307,131
20,7,4.278699998394586,0.5290999979479238,0.01880000127130188,0.030499999411404133,37800.03794664252,138
20,8,4.514099997322774,0.4946000008203555,0.023199998395284638,0.0427999984822236,40436.716471547756,125
20,9,4.192799999145791,0.5371000006562099,0.021899999410379678,0.03650000144261867,37237.013546015085,133
20,10,4.128500000661006,0.5099000009067822,0.018999999156221747,0.0411000000895001,39223.37706301812,130
20,11,4.075000000739237,0.6016000006638933,0.028300000849412754,0.029500002710847184,33244.68081437679,141
30,0,10.257800000545103,1.1919999997189734,0.03310000101919286,0.05400000009103678,25167.785240832898,257
30,1,9.727399999974295,1.1969000006502029,0.03529999958118424,0.05569999848376028,25064.75059211532,266
30,2,10.000999998737825,1.3264000008348376,0.03380000271135941,0.05530000271392055,22617.61156598158,268
30,3,10.151700000278652,1.344499996775994,0.03859999924316071,0.051399998483248055,22313.12761021767,230
30,4,10.170300000027055,1.2657000006583985,0.040400002035312355,0.055100001191021875,23702.299110685344,280
30,5,10.780000000522705,1.2668999988818541,0.030699997296324,0.06299999949987978,23679.848469869386,271
30,6,9.725600000820123,1.3695999987248797,0.030000002880115062,0.045000000682193786,21904.205627869815,244
30,7,10.199899999861373,1.4775999989069533,0.03060000017285347,0.046799999836366624,20303.194384266608,294
30,8,10.317799999029376,1.6150000010384247,0.08960000195656903,0.07829999958630651,18575.85138124482,249
30,9,10.630500000843313,1.2925000010000076,0.035000000934815034,0.05989999772282317,23210.831703511794,209
30,10,9.933299999829615,1.1240999992878642,0.027399997634347528,0.06410000059986487,26688.017097238226,270
30,11,10.369599996920442,1.2291999992157798,0.031199997465591878,0.0441999982285779,24406.117815766167,298
50,0,34.21820000221487,3.910600000381237,0.04830000034417026,0.0940000027185306,12785.761774440136,741
50,1,36.87540000100853,4.357500001788139,0.041200000850949436,0.08159999924828298,11474.469301085956,667
50,2,34.85509999882197,4.147200001170859,0.04410000110510737,0.08380000144825317,12056.327157090022,850
50,3,47.53940000227885,4.261199999746168,0.04510000144364312,0.18040000213659368,11733.783911334463,739
50,4,37.360700000135694,4.61150000046473,0.04070000068168156,0.07890000051702373,10842.459068624348,605
