strategy,metric,n,mean,std,ci95_low,ci95_high,conflict,minority_frac
crdt_lww,tau_causal,30,0.0,0.0,,,high,
crdt_lww,tau_contested,30,179.53333333333333,16.368037257965934,173.42140777452363,185.64525889214303,high,
crdt_lww,tauhat,30,0.08131038647342993,0.007413060352339643,0.07854230424570814,0.08407846870115172,high,
crdt_lww,info_retention,30,0.9186896135265702,0.007413060352339638,0.9159215312988485,0.9214576957542919,high,
crdt_pure,tau_causal,30,0.0,0.0,,,high,
crdt_pure,tau_contested,30,179.53333333333333,16.368037257965934,173.42140777452363,185.64525889214303,high,
crdt_pure,tauhat,30,0.08131038647342993,0.007413060352339643,0.07854230424570814,0.08407846870115172,high,
crdt_pure,info_retention,30,0.9186896135265702,0.007413060352339638,0.9159215312988485,0.9214576957542919,high,
leader,tau_causal,30,0.0,0.0,,,high,
leader,tau_contested,30,131.73333333333332,60.00226049381653,109.32812104558413,154.13854562108253,high,
leader,tauhat,30,0.05966183574879228,0.027174936817851693,0.04951454757499282,0.06980912392259174,high,
leader,info_retention,30,0.9403381642512078,0.02717493681785169,0.9301908760774082,0.9504854524250073,high,
lww,tau_causal,30,0.0,0.0,,,high,
lww,tau_contested,30,179.53333333333333,16.368037257965934,173.42140777452363,185.64525889214303,high,
lww,tauhat,30,0.08131038647342993,0.007413060352339643,0.07854230424570814,0.08407846870115172,high,
lww,info_retention,30,0.9186896135265702,0.007413060352339638,0.9159215312988485,0.9214576957542919,high,
ranked_pairs,tau_causal,30,0.0,0.0,,,high,
ranked_pairs,tau_contested,30,179.53333333333333,16.368037257965934,173.42140777452363,185.64525889214303,high,
ranked_pairs,tauhat,30,0.08131038647342993,0.007413060352339643,0.07854230424570814,0.08407846870115172,high,
ranked_pairs,info_retention,30,0.9186896135265702,0.007413060352339638,0.9159215312988485,0.9214576957542919,high,
vc,tau_causal,30,0.0,0.0,,,high,
vc,tau_contested,30,822.0666666666667,121.54066534840648,776.6826363599092,867.4506969734242,high,
vc,tauhat,30,0.3723128019323672,0.055045591190401484,0.35175844038039367,0.39286716348434075,high,
vc,info_retention,30,0.627687198067633,0.05504559119040149,0.6071328365156594,0.6482415596196065,high,
crdt_lww,tau_causal,30,0.0,0.0,,,low,
crdt_lww,tau_contested,30,96.96666666666667,14.288851051355252,91.63112199686819,102.30221133646515,low,
crdt_lww,tauhat,30,0.04391606280193237,0.0064713999326790105,0.041499602353654075,0.04633252325021067,low,
crdt_lww,info_retention,30,0.9560839371980676,0.006471399932679012,0.9536674767497894,0.9585003976463459,low,
crdt_pure,tau_causal,30,0.0,0.0,,,low,
crdt_pure,tau_contested,30,96.96666666666667,14.288851051355252,91.63112199686819,102.30221133646515,low,
crdt_pure,tauhat,30,0.04391606280193237,0.0064713999326790105,0.041499602353654075,0.04633252325021067,low,
crdt_pure,info_retention,30,0.9560839371980676,0.006471399932679012,0.9536674767497894,0.9585003976463459,low,
leader,tau_causal,30,0.0,0.0,,,low,
leader,tau_contested,30,97.06666666666666,41.43040140910464,81.59630053215555,112.53703280117777,low,
leader,tauhat,30,0.04396135265700484,0.018763768754123483,0.03695484625550524,0.05096785905850444,low,
leader,info_retention,30,0.9560386473429953,0.018763768754123483,0.9490321409414957,0.9630451537444948,low,
lww,tau_causal,30,0.0,0.0,,,low,
lww,tau_contested,30,96.96666666666667,14.288851051355252,91.63112199686819,102.30221133646515,low,
lww,tauhat,30,0.04391606280193237,0.0064713999326790105,0.041499602353654075,0.04633252325021067,low,
lww,info_retention,30,0.9560839371980676,0.006471399932679012,0.9536674767497894,0.9585003976463459,low,
ranked_pairs,tau_causal,30,0.0,0.0,,,low,
ranked_pairs,tau_contested,30,96.96666666666667,14.288851051355252,91.63112199686819,102.30221133646515,low,
ranked_pairs,tauhat,30,0.04391606280193237,0.0064713999326790105,0.041499602353654075,0.04633252325021067,low,
ranked_pairs,info_retention,30,0.9560839371980676,0.006471399932679012,0.9536674767497894,0.9585003976463459,low,
vc,tau_causal,30,0.0,0.0,,,low,
vc,tau_contested,30,523.3666666666667,105.30824486611488,484.0439217824347,562.6894115508986,low,
vc,tauhat,30,0.23703200483091794,0.04769395147921869,0.2192227906623346,0.25484121899950124,low,
vc,info_retention,30,0.7629679951690819,0.0476939514792187,0.7451587810004986,0.7807772093376651,low,
crdt_lww,ops_retained,30,1.0,0.0,,,,
crdt_lww,auto_coverage,30,1.0,0.0,,,,
crdt_lww,info_retention,30,0.917074275362319,0.007969976236842952,0.9140982373256656,0.9200503133989724,,
crdt_lww,tau_causal,30,0.0,0.0,,,,
crdt_lww,tau_contested,30,183.1,17.59770753094924,176.5289080150693,189.67109198493068,,
crdt_lww,semantic_validity,30,0.8607142857142857,0.17575696679495975,0.795085555735058,0.9263430156935133,,
crdt_lww,gini,30,0.32371885672126494,0.0792562819115375,0.2941240746788668,0.35331363876366306,,
crdt_lww,time_ms,30,0.05807999999281795,0.013643272837752934,0.05298551818973591,0.0631744817959,,
crdt_pure,ops_retained,30,1.0,0.0,,,,
crdt_pure,auto_coverage,30,0.9083333333333332,0.07612502319926162,0.8799077825098762,0.9367588841567902,,
crdt_pure,info_retention,30,0.917074275362319,0.007969976236842952,0.9140982373256656,0.9200503133989724,,
crdt_pure,tau_causal,30,0.0,0.0,,,,
crdt_pure,tau_contested,30,183.1,17.59770753094924,176.5289080150693,189.67109198493068,,
crdt_pure,semantic_validity,30,0.8607142857142857,0.17575696679495975,0.795085555735058,0.9263430156935133,,
crdt_pure,gini,30,0.32371885672126494,0.0792562819115375,0.2941240746788668,0.35331363876366306,,
crdt_pure,time_ms,30,0.09381333366036415,0.11338222094518849,0.05147571656016798,0.13615095076056033,,
leader,ops_retained,30,0.6069444444444444,0.06717062869198201,0.5818625194809586,0.6320263694079302,,
leader,auto_coverage,30,1.0,0.0,,,,
leader,info_retention,30,0.9428894927536231,0.031771840420288605,0.9310256925645883,0.9547532929426579,,
leader,tau_causal,30,0.0,0.0,,,,
leader,tau_contested,30,126.1,70.15222364799722,99.90472918261113,152.29527081738885,,
leader,semantic_validity,30,0.9180555555555556,0.14033490547985866,0.8656536406480084,0.9704574704631028,,
leader,gini,30,0.3876725876767433,0.14639167125756206,0.33300903925889525,0.4423361360945913,,
leader,time_ms,30,0.04006999988632742,0.016683837538869307,0.033840152564638466,0.04629984720801638,,
lww,ops_retained,30,1.0,0.0,,,,
lww,auto_coverage,30,1.0,0.0,,,,
lww,info_retention,30,0.917074275362319,0.007969976236842952,0.9140982373256656,0.9200503133989724,,
lww,tau_causal,30,0.0,0.0,,,,
lww,tau_contested,30,183.1,17.59770753094924,176.5289080150693,189.67109198493068,,
lww,semantic_validity,30,0.8607142857142857,0.17575696679495975,0.795085555735058,0.9263430156935133,,
lww,gini,30,0.32371885672126494,0.0792562819115375,0.2941240746788668,0.35331363876366306,,
lww,time_ms,30,0.05659333352620403,0.007090058221223689,0.053945862276426886,0.05924080477598117,,
ranked_pairs,ops_retained,30,1.0,0.0,,,,
ranked_pairs,auto_coverage,30,1.0,0.0,,,,
ranked_pairs,info_retention,30,0.917074275362319,0.007969976236842952,0.9140982373256656,0.9200503133989724,,
ranked_pairs,tau_causal,30,0.0,0.0,,,,
ranked_pairs,tau_contested,30,183.1,17.59770753094924,176.5289080150693,189.67109198493068,,
ranked_pairs,semantic_validity,30,0.8607142857142857,0.17575696679495975,0.795085555735058,0.9263430156935133,,
ranked_pairs,gini,30,0.32371885672126494,0.0792562819115375,0.2941240746788668,0.35331363876366306,,
ranked_pairs,time_ms,30,3.8259066664371253,0.5807949371459378,3.609034272708797,4.042779060165453,,
vc,ops_retained,30,1.0,0.0,,,,
vc,auto_coverage,30,0.9083333333333332,0.07612502319926162,0.8799077825098762,0.9367588841567902,,
vc,info_retention,30,0.6143568840579712,0.04739914972526048,0.596657750673443,0.6320560174424994,,
vc,tau_causal,30,0.0,0.0,,,,
vc,tau_contested,30,851.5,104.65732259337516,812.4203134869615,890.5796865130385,,
vc,semantic_validity,30,0.839047619047619,0.18598943870898457,0.7695980212614897,0.9084972168337484,,
vc,gini,30,0.06009737820317307,0.02087151708562448,0.052303825639949356,0.06789093076639678,,
vc,time_ms,30,0.16375333337540118,0.05632876222507172,0.14271982788457155,0.18478683886623082,,
