M,trial,rp_exact,excess_pct,rp_unc_causal_viol,constrained_ms
4,0,True,0.0,0,0.03569999989849748
4,1,True,0.0,0,0.0729000003047986
4,2,True,0.0,0,0.04710000030172523
4,3,True,0.0,0,0.0427999993917183
4,4,True,0.0,0,0.04290000015316764
4,5,True,0.0,0,0.04650000028050272
4,6,True,0.0,0,0.061899999309389386
4,7,True,0.0,0,0.07220000043162145
4,8,True,0.0,0,0.07390000064333435
4,9,True,0.0,0,0.07139999979699496
4,10,True,0.0,0,0.04579999949783087
4,11,True,0.0,0,0.048799999603943434
4,12,True,0.0,0,0.050800000281014945
4,13,True,0.0,1,0.028899999961140566
4,14,True,0.0,0,0.04749999970954377
4,15,True,0.0,0,0.04579999949783087
4,16,True,0.0,0,0.04400000034365803
4,17,True,0.0,0,0.07449999975506216
4,18,True,0.0,0,0.04739999985758914
4,19,True,0.0,0,0.04960000023856992
4,20,True,0.0,0,0.05020000025979243
4,21,True,0.0,0,0.039599999581696466
4,22,True,0.0,0,0.09709999994811369
4,23,True,0.0,4,0.018700000509852543
5,0,True,0.0,0,0.17069999921659473
5,1,True,0.0,0,0.2834999995684484
5,2,True,0.0,1,0.21719999949709745
5,3,True,0.0,0,0.215099999877566
5,4,True,0.0,0,0.1433000006727525
5,5,True,0.0,0,0.13719999969907803
5,6,True,0.0,0,0.3987000000051921
5,7,True,0.0,0,0.32389999978477135
5,8,True,0.0,0,0.13049999961367575
5,9,True,0.0,0,0.2870999996957835
5,10,True,0.0,0,0.2179000002797693
5,11,True,0.0,0,0.2764999999271822
5,12,True,0.0,1,0.22459999945567688
5,13,True,0.0,4,0.1216000000567874
5,14,True,0.0,0,0.21120000019436702
5,15,True,0.0,0,0.2279999998791027
5,16,True,0.0,0,0.21149999975023093
5,17,True,0.0,1,0.20679999943240546
5,18,True,0.0,1,0.26840000009542564
5,19,True,0.0,1,0.3594999998313142
5,20,True,0.0,1,0.21530000049096998
5,21,True,0.0,1,0.12409999999363208
5,22,True,0.0,0,0.2071999997497187
5,23,True,0.0,0,0.12739999965560855
6,0,True,0.0,0,1.2552000007417519
6,1,True,0.0,1,1.4846000003672088
6,2,True,0.0,0,2.6493000004848
6,3,True,0.0,1,0.6040999996912433
6,4,True,0.0,2,0.7624999998370185
6,5,True,0.0,0,2.0758000000569155
6,6,True,0.0,0,2.727200000663288
6,7,True,0.0,1,0.6354000006467686
6,8,True,0.0,4,0.5980999994790182
6,9,True,0.0,0,1.0207000004811562
6,10,True,0.0,1,1.188400000501133
6,11,True,0.0,0,2.2702999995090067
6,12,True,0.0,0,1.3355000000956352
6,13,True,0.0,1,2.7772000003096764
6,14,True,0.0,1,0.9491999999227119
6,15,True,0.0,0,0.8490999998684856
6,16,True,0.0,1,1.0892999998759478
6,17,True,0.0,0,1.4869000006001443
6,18,True,0.0,0,0.908500000150525
6,19,True,0.0,1,0.6751000000804197
6,20,True,0.0,1,0.572900000406662
6,21,True,0.0,1,0.7578999993711477
6,22,True,0.0,0,3.1928000007610535
6,23,True,0.0,0,2.3356000001513166
7,0,True,0.0,0,10.550899999543617
7,1,True,0.0,2,5.394699999669683
7,2,True,0.0,1,7.13499999983469
7,3,True,0.0,0,12.945100000251841
7,4,True,0.0,1,10.197100000368664
7,5,True,0.0,1,7.79569999940577
7,6,True,0.0,0,11.50229999984731
7,7,True,0.0,1,7.179100000030303
7,8,True,0.0,1,4.4785999998566695
7,9,True,0.0,2,10.20890000017971
7,10,True,0.0,2,7.030800000393356
7,11,True,0.0,0,10.476600000401959
7,12,True,0.0,2,4.657999999835738
7,13,True,0.0,0,23.38159999999334
7,14,True,0.0,0,7.369099999777973
7,15,True,0.0,1,10.33499999994092
7,16,True,0.0,2,7.000499999776366
7,17,True,0.0,0,13.772199999948498
7,18,True,0.0,2,5.921300000409246
7,19,True,0.0,0,13.42339999973774
7,20,True,0.0,0,8.684000000357628
7,21,True,0.0,0,6.111099999543512
7,22,True,0.0,0,10.747799999990093
7,23,True,0.0,1,10.564399999566376
8,0,True,0.0,2,69.12180000017543
8,1,True,0.0,0,76.05949999924633
8,2,True,0.0,1,77.2129999995741
8,3,True,0.0,0,59.437200000502344
8,4,True,0.0,1,74.62029999987863
8,5,True,0.0,0,61.81910000032076
8,6,True,0.0,0,63.23510000038368
8,7,True,0.0,0,57.67850000029284
8,8,True,0.0,0,65.73389999994106
8,9,True,0.0,2,61.22959999993327
8,10,True,0.0,0,88.40280000003986
8,11,True,0.0,0,89.65619999980845
8,12,True,0.0,0,75.63730000038049
8,13,True,0.0,0,86.20320000045467
8,14,True,0.0,0,67.1148000001267
8,15,True,0.0,1,61.47819999932835
8,16,True,0.0,1,62.484000000040396
8,17,True,0.0,0,77.25440000012895
8,18,True,0.0,2,241.72689999977592
8,19,True,0.0,1,240.9910000005766
8,20,True,0.0,0,303.56989999927464
8,21,True,0.0,1,428.14889999954175
8,22,True,0.0,4,231.51179999968008
8,23,True,0.0,0,353.7253000004057
