conflict,trial,strategy,tau_causal,tau_contested,info_retention,repair_swaps
low,17,crdt_lww,0,0.0,1.0,
low,17,leader,0,0.0,1.0,
low,17,ranked_pairs,0,0.0,1.0,
low,17,rp_unconstrained,0,0.0,1.0,11.0
low,18,lww,0,0.0,1.0,
low,18,vc,0,9.0,0.7428571428571429,
low,18,crdt_pure,0,0.0,1.0,
low,18,crdt_lww,0,0.0,1.0,
low,18,leader,0,0.0,1.0,
low,18,ranked_pairs,0,0.0,1.0,
low,18,rp_unconstrained,0,0.0,1.0,15.0
low,19,lww,0,0.0,1.0,
low,19,vc,0,4.0,0.8709677419354839,
low,19,crdt_pure,0,0.0,1.0,
low,19,crdt_lww,0,0.0,1.0,
low,19,leader,0,0.0,1.0,
low,19,ranked_pairs,0,0.0,1.0,
low,19,rp_unconstrained,0,0.0,1.0,10.0
low,20,lww,0,2.0,0.9523809523809523,
low,20,vc,0,6.0,0.8571428571428572,
low,20,crdt_pure,0,2.0,0.9523809523809523,
low,20,crdt_lww,0,2.0,0.9523809523809523,
low,20,leader,0,2.0,0.9523809523809523,
low,20,ranked_pairs,0,0.0,1.0,
low,20,rp_unconstrained,0,0.0,1.0,14.0
low,21,lww,0,0.0,1.0,
low,21,vc,0,7.0,0.8157894736842105,
low,21,crdt_pure,0,0.0,1.0,
low,21,crdt_lww,0,0.0,1.0,
low,21,leader,0,0.0,1.0,
low,21,ranked_pairs,0,0.0,1.0,
low,21,rp_unconstrained,0,0.0,1.0,18.0
low,22,lww,0,0.0,1.0,
low,22,vc,0,5.0,0.84375,
low,22,crdt_pure,0,0.0,1.0,
low,22,crdt_lww,0,0.0,1.0,
low,22,leader,0,0.0,1.0,
low,22,ranked_pairs,0,0.0,1.0,
low,22,rp_unconstrained,0,0.0,1.0,18.0
low,23,lww,0,0.0,1.0,
low,23,vc,0,6.0,0.8235294117647058,
low,23,crdt_pure,0,0.0,1.0,
low,23,crdt_lww,0,0.0,1.0,
low,23,leader,0,0.0,1.0,
low,23,ranked_pairs,0,0.0,1.0,
low,23,rp_unconstrained,0,0.0,1.0,6.0
low,24,lww,0,2.0,0.935483870967742,
low,24,vc,0,8.0,0.7419354838709677,
low,24,crdt_pure,0,2.0,0.935483870967742,
low,24,crdt_lww,0,2.0,0.935483870967742,
low,24,leader,0,2.0,0.935483870967742,
low,24,ranked_pairs,0,0.0,1.0,
low,24,rp_unconstrained,0,0.0,1.0,14.0
low,25,lww,0,0.0,1.0,
low,25,vc,0,4.0,0.8666666666666667,
low,25,crdt_pure,0,0.0,1.0,
low,25,crdt_lww,0,0.0,1.0,
low,25,leader,0,0.0,1.0,
low,25,ranked_pairs,0,0.0,1.0,
low,25,rp_unconstrained,0,0.0,1.0,9.0
low,26,lww,0,3.0,0.8888888888888888,
low,26,vc,0,10.0,0.6296296296296297,
low,26,crdt_pure,0,3.0,0.8888888888888888,
low,26,crdt_lww,0,3.0,0.8888888888888888,
low,26,leader,0,3.0,0.8888888888888888,
low,26,ranked_pairs,0,0.0,1.0,
low,26,rp_unconstrained,0,0.0,1.0,28.0
low,27,lww,0,0.0,1.0,
low,27,vc,0,1.0,0.9655172413793104,
low,27,crdt_pure,0,0.0,1.0,
low,27,crdt_lww,0,0.0,1.0,
low,27,leader,0,0.0,1.0,
low,27,ranked_pairs,0,0.0,1.0,
