strategy,metric,n,mean,std,ci95_low,ci95_high,conflict,minority_frac
ranked_pairs,time_ms,30,0.31234999996740953,0.03416779838916964,0.2995915343693801,0.325108465565439,,
rp_unconstrained,ops_retained,30,1.0,0.0,,,,
rp_unconstrained,auto_coverage,30,1.0,0.0,,,,
rp_unconstrained,info_retention,30,1.0,0.0,,,,
rp_unconstrained,tau_causal,30,0.0,0.0,,,,
rp_unconstrained,tau_contested,30,0.0,0.0,,,,
rp_unconstrained,semantic_validity,30,0.8276190476190475,0.1849269656954669,0.7585661837763055,0.8966719114617895,,
rp_unconstrained,gini,30,0.0,0.0,,,,
rp_unconstrained,time_ms,30,0.0,0.0,,,,
vc,ops_retained,30,1.0,0.0,,,,
vc,auto_coverage,30,0.9083333333333332,0.07612502319926162,0.8799077825098762,0.9367588841567902,,
vc,info_retention,30,0.6844710689248737,0.08660460176808528,0.6521323791531793,0.7168097586965682,,
vc,tau_causal,30,0.0,0.0,,,,
vc,tau_contested,30,10.233333333333333,3.23433448181073,9.025612989496876,11.441053677169789,,
vc,semantic_validity,30,0.7905820105820106,0.18963022930581283,0.7197729192443744,0.8613911019196469,,
vc,gini,30,0.6759658322342147,0.11380421863440685,0.6334706386071667,0.7184610258612627,,
vc,time_ms,30,0.04465333343735741,0.012628149667857852,0.039937904855479524,0.0493687620192353,,
leader,ops_retained,15,0.8805555555555556,0.054250545555982126,0.8505126048068288,0.9105985063042825,,0.1
leader,info_retention,15,0.9809713755108492,0.01972388664000289,0.9700486511616977,0.9918940998600008,,0.1
lww,ops_retained,15,1.0,0.0,,,,0.1
lww,info_retention,15,0.9751416496811234,0.023029393063840577,0.9623883968889264,0.9878949024733203,,0.1
ranked_pairs,ops_retained,15,1.0,0.0,,,,0.1
ranked_pairs,info_retention,15,1.0,0.0,,,,0.1
leader,ops_retained,15,0.7083333333333334,0.11356419064487448,0.6454435807714483,0.7712230858952185,,0.2
leader,info_retention,15,0.9928703703703704,0.015037950473337959,0.9845426309752692,1.0011981097654716,,0.2
lww,ops_retained,15,1.0,0.0,,,,0.2
lww,info_retention,15,0.9794291274032653,0.022126480371767888,0.9671758909935828,0.9916823638129477,,0.2
ranked_pairs,ops_retained,15,1.0,0.0,,,,0.2
ranked_pairs,info_retention,15,1.0,0.0,,,,0.2
leader,ops_retained,15,0.7583333333333333,0.09860132971832693,0.7037297369615724,0.8129369297050942,,0.3
leader,info_retention,15,0.9857017524044139,0.015916452389471602,0.9768875148639286,0.9945159899448993,,0.3
lww,ops_retained,15,1.0,0.0,,,,0.3
lww,info_retention,15,0.9770342503158591,0.01911027752273923,0.9664513313695842,0.987617169262134,,0.3
ranked_pairs,ops_retained,15,1.0,0.0,,,,0.3
ranked_pairs,info_retention,15,1.0,0.0,,,,0.3
leader,ops_retained,15,0.6333333333333333,0.07905694150420946,0.5895530583957286,0.677113608270938,,0.4
leader,info_retention,15,0.9923249299719888,0.017035853069235808,0.9828907889974349,1.001759070946543,,0.4
lww,ops_retained,15,1.0,0.0,,,,0.4
lww,info_retention,15,0.9847027699968877,0.021278038365360206,0.9729193851094421,0.9964861548843332,,0.4
ranked_pairs,ops_retained,15,1.0,0.0,,,,0.4
ranked_pairs,info_retention,15,1.0,0.0,,,,0.4
leader,ops_retained,15,0.5027777777777778,0.07464643291604726,0.4614399610852106,0.544115594470345,,0.5
leader,info_retention,15,0.9935109335109336,0.013581159109206434,0.9859899382831995,1.0010319287386678,,0.5
lww,ops_retained,15,1.0,0.0,,,,0.5
lww,info_retention,15,0.9894668158638746,0.015563889064613583,0.9808478213849283,0.998085810342821,,0.5
ranked_pairs,ops_retained,15,1.0,0.0,,,,0.5
ranked_pairs,info_retention,15,1.0,0.0,,,,0.5
