trial,drift_max,phase,sample_ts,tauhat,gini,maxlag,jaccard,M,alert
20000,0.1,steady,1789193352.86607,0.0,0.0,1,0.7321428571428571,2,0
20000,0.1,steady,1789193353.8989942,0.0,0.0,0,0.9359925788497218,22,0
20000,0.1,drift,1789193354.9354725,0.0,0.0,0,1.0,20,0
20000,0.1,drift,1789193355.973359,0.30526315789473685,0.08189655172413793,0,1.0,20,1
20000,0.1,partition,1789193357.007198,0.0,0.0,0,0.6190476190476192,30,0
20000,0.1,partition,1789193358.0456305,0.0,0.0,0,0.40816326530612246,42,0
20000,0.1,heal,1789193359.0822263,0.0,0.0,0,0.9489795918367349,21,0
20001,0.2,steady,1789193360.116338,0.0,0.0,1,0.7857142857142857,2,0
20001,0.2,steady,1789193361.1438422,0.0,0.0,0,0.9761904761904763,21,0
20001,0.2,drift,1789193362.17199,0.0506578947368421,0.7678571428571429,0,1.0,20,1
20001,0.2,drift,1789193363.1965723,0.38092105263157894,0.13449913644214162,0,1.0,20,1
20001,0.2,converge,1789193364.2274294,0.0,0.0,0,0.9489795918367349,21,0
20001,0.2,partition,1789193365.2726853,0.0,0.0,0,0.40476190476190477,42,0
20001,0.2,heal,1789193366.2998953,0.0,0.0,0,0.9761904761904763,21,0
20002,0.4,steady,1789193367.3439326,0.0,0.0,1,0.7321428571428571,2,0
20002,0.4,steady,1789193368.3784406,0.0,0.0,0,0.9761904761904763,21,0
20002,0.4,drift,1789193369.4075234,0.04473684210526316,0.7794117647058824,0,1.0,20,0
20002,0.4,drift,1789193370.4354348,0.4,0.16159539473684212,0,1.0,20,1
20002,0.4,converge,1789193371.4629312,0.0,0.0,0,0.9489795918367349,21,0
20002,0.4,partition,1789193372.493249,0.0,0.0,0,0.42857142857142855,40,0
20002,0.4,heal,1789193373.5287054,0.0,0.0,0,0.8095238095238093,24,0
20003,0.6,steady,1789193374.5643396,0.0,0.0,2,0.5714285714285714,2,0
20003,0.6,steady,1789193375.6084614,0.0,0.0,0,0.9455782312925172,21,0
20003,0.6,drift,1789193376.6354215,0.020394736842105264,0.875,0,1.0,20,0
20003,0.6,drift,1789193377.6731358,0.43486842105263157,0.10760211800302572,0,1.0,20,1
20003,0.6,drift,1789193378.7051146,0.39342105263157895,0.09322742474916387,0,1.0,20,1
20003,0.6,partition,1789193379.7395415,0.0,0.0,0,0.5344865218814798,34,0
20003,0.6,partition,1789193380.7788665,0.0,0.0,0,0.42857142857142855,40,0
20003,0.6,heal,1789193381.8199213,0.0,0.0,0,0.9489795918367349,21,0
