trial,strategy,M,ops_retained,auto_coverage,info_retention,tau_causal,tau_contested,semantic_validity,gini,time_ms
210001,lww,24,1.0,1.0,1.0,0,0.0,1.0,0.0,0.04850000004807953
210001,vc,24,1.0,1.0,1.0,0,0.0,1.0,0.0,0.12300000003051537
210001,crdt_pure,24,1.0,1.0,1.0,0,0.0,1.0,0.0,0.040799999965202005
210001,crdt_lww,24,1.0,1.0,1.0,0,0.0,1.0,0.0,0.03130000004603062
210001,leader,24,0.20833333333333334,1.0,1.0,0,0.0,1.0,0.0,0.018599999975776882
210001,ranked_pairs,24,1.0,1.0,1.0,0,0.0,1.0,0.0,0.8960000000115542
210002,lww,24,1.0,1.0,1.0,0,0.0,0.42857142857142855,0.0,0.04639999997380073
210002,vc,24,1.0,0.75,1.0,0,0.0,0.42857142857142855,0.0,0.17060000004676112
210002,crdt_pure,24,1.0,0.75,1.0,0,0.0,0.42857142857142855,0.0,0.05790000000160944
210002,crdt_lww,24,1.0,1.0,1.0,0,0.0,0.42857142857142855,0.0,0.03179999998792482
210002,leader,24,0.20833333333333334,1.0,1.0,0,0.0,1.0,0.0,0.013700000067728979
210002,ranked_pairs,24,1.0,1.0,1.0,0,0.0,0.42857142857142855,0.0,0.9350000000267755
210003,lww,24,1.0,1.0,1.0,0,0.0,0.75,0.0,0.048699999979362474
210003,vc,24,1.0,0.9166666666666666,1.0,0,0.0,0.75,0.0,0.13109999997595878
210003,crdt_pure,24,1.0,0.9166666666666666,1.0,0,0.0,0.75,0.0,0.06289999998898566
210003,crdt_lww,24,1.0,1.0,1.0,0,0.0,0.75,0.0,0.0499000000218075
210003,leader,24,0.20833333333333334,1.0,1.0,0,0.0,1.0,0.0,0.019700000052580435
210003,ranked_pairs,24,1.0,1.0,1.0,0,0.0,0.75,0.0,1.3514999999415522
210004,lww,24,1.0,1.0,1.0,0,0.0,1.0,0.0,0.05769999995663966
210004,vc,24,1.0,1.0,1.0,0,0.0,1.0,0.0,0.14420000002246525
210004,crdt_pure,24,1.0,1.0,1.0,0,0.0,1.0,0.0,0.04789999991317018
210004,crdt_lww,24,1.0,1.0,1.0,0,0.0,1.0,0.0,0.045699999986936746
210004,leader,24,0.20833333333333334,1.0,1.0,0,0.0,1.0,0.0,0.017800000023271423
210004,ranked_pairs,24,1.0,1.0,1.0,0,0.0,1.0,0.0,1.3696999999410764
210005,lww,24,1.0,1.0,1.0,0,0.0,1.0,0.0,0.055799999927330646
