strategy,metric,n,mean,std,ci95_low,ci95_high,conflict,minority_frac
ranked_pairs,auto_coverage,30,1.0,0.0,,,,
ranked_pairs,info_retention,30,1.0,0.0,,,,
ranked_pairs,tau_causal,30,0.0,0.0,,,,
ranked_pairs,tau_contested,30,0.0,0.0,,,,
ranked_pairs,semantic_validity,30,0.8276190476190475,0.18492696569546693,0.7585661837763055,0.8966719114617895,,
ranked_pairs,gini,30,0.0,0.0,,,,
ranked_pairs,time_ms,30,1.2719033333344971,0.20568860041215983,1.195097947679412,1.3487087189895823,,
vc,ops_retained,30,1.0,0.0,,,,
vc,auto_coverage,30,0.9083333333333332,0.07612502319926162,0.8799077825098762,0.9367588841567902,,
vc,info_retention,30,0.9998490338164251,0.0002475870804304814,0.9997565832812103,0.9999414843516399,,
vc,tau_causal,30,0.0,0.0,,,,
vc,tau_contested,30,0.3333333333333333,0.5466722735905339,0.1292025515791249,0.5374641150875417,,
vc,semantic_validity,30,0.822063492063492,0.18723842319958403,0.7521475158038572,0.8919794683231269,,
vc,gini,30,0.25833333333333336,0.4019528479237621,0.10824167323120526,0.40842499343546146,,
vc,time_ms,30,0.17552333333317918,0.06242533573701692,0.15221332987979233,0.19883333678656603,,
leader,ops_retained,15,0.2916666666666667,0.0,,,,0.1
leader,info_retention,15,1.0,0.0,,,,0.1
leader,tauhat,15,0.0,0.0,,,,0.1
lww,ops_retained,15,1.0,0.0,,,,0.1
lww,info_retention,15,0.9996074879227054,0.0003776310633300474,0.9993983628103117,0.999816613035099,,0.1
lww,tauhat,15,0.00039251207729465334,0.00037763106333003747,0.00018338696490096494,0.0006016371896883418,,0.1
ranked_pairs,ops_retained,15,1.0,0.0,,,,0.1
ranked_pairs,info_retention,15,1.0,0.0,,,,0.1
ranked_pairs,tauhat,15,0.0,0.0,,,,0.1
leader,ops_retained,15,0.25,0.0,,,,0.2
leader,info_retention,15,1.0,0.0,,,,0.2
leader,tauhat,15,0.0,0.0,,,,0.2
lww,ops_retained,15,1.0,0.0,,,,0.2
lww,info_retention,15,0.9996678743961352,0.00036177927387587625,0.9994675277121421,0.9998682210801284,,0.2
lww,tauhat,15,0.0003321256038647066,0.0003617792738758667,0.0001317789198715106,0.0005324722878579026,,0.2
ranked_pairs,ops_retained,15,1.0,0.0,,,,0.2
ranked_pairs,info_retention,15,1.0,0.0,,,,0.2
ranked_pairs,tauhat,15,0.0,0.0,,,,0.2
leader,ops_retained,15,0.25,0.0,,,,0.3
leader,info_retention,15,1.0,0.0,,,,0.3
leader,tauhat,15,0.0,0.0,,,,0.3
lww,ops_retained,15,1.0,0.0,,,,0.3
lww,info_retention,15,0.9996376811594203,0.0003062153096842277,0.9994681047731726,0.999807257545668,,0.3
lww,tauhat,15,0.00036231884057967995,0.00030621530968421955,0.00019274245433198943,0.0005318952268273705,,0.3
ranked_pairs,ops_retained,15,1.0,0.0,,,,0.3
ranked_pairs,info_retention,15,1.0,0.0,,,,0.3
ranked_pairs,tauhat,15,0.0,0.0,,,,0.3
leader,ops_retained,15,0.20833333333333337,8.618925065430588e-17,0.20833333333333331,0.20833333333333343,,0.4
leader,info_retention,15,1.0,0.0,,,,0.4
